Name,TimeWeightedAvgVmSizeMiB,MaxVmPeakMiB,MaxVmHwmMiB,DataPoints,PeakDuration
dbus-daemon,31.811790988869863,36.76953125,29.2265625,168,876.0
discern-file-so,1584.0854246932079,1591.6796875,291.30859375,168,876.0
discern-logs-so,1259.2571703767123,1269.49609375,73.00390625,168,876.0
discern-network,1881.9453125,1881.9453125,95.8203125,168,872.0
discern-proc-so,1205.92578125,1205.92578125,15.84375,40,199.0
server.py,171.75390625,235.75390625,20.1875,126,670.0
systemd-journal,141.23828125,169.40234375,23.19140625,2,11.0
